Lon,Lat,RP50,RP100,Dur_hist,Dur_RP50,Dur_RP100,ST_A_perc,ST_B_perc,ST_C_perc,ST_D_perc
-5.28,35.693,0.876736092583856,0.912146580218546,7.73002192982456,7.69034742362176,7.70319081110393,0,47.3684210526316,52.6315789473684,0
-5.2695,35.6897,0.869570054500851,0.904955415509062,7.97822368421053,9.52076579655647,9.67887407985997,0,46.0526315789474,53.9473684210526,0
-5.3153,35.6936,0.891100099483969,0.927235875428036,7.44868888888889,8.44657009684516,8.61846511988785,0,49.3333333333333,50.6666666666667,0
-5.3031,35.6939,0.901586384720506,0.941226936572539,7.7006,7.73609526889337,7.75310752065525,0,46.6666666666667,53.3333333333333,0
-5.2911,35.6942,0.881106339897186,0.917202865597371,7.77137777777778,7.60028317254687,7.6175642386272,0,48,52,0
-5.3211,35.7035,0.899441168180974,0.936933874648235,7.44628888888889,8.31496245335418,8.47006762658012,0,49.3333333333333,50.6666666666667,0
-5.3261,35.7125,0.891140893851488,0.926913322674987,7.4327850877193,8.30424021536325,8.46297410870698,0,50,50,0
-5.3286,35.7227,0.890993405092188,0.926522016840562,7.40206666666667,8.48246114439703,8.65820819137441,0,50.6666666666667,49.3333333333333,0
-5.3303,35.7339,0.893620910453307,0.929735287037987,7.40464444444445,8.16137627617989,8.29032334007042,0,50.6666666666667,49.3333333333333,0
-5.3319,35.7452,0.894143143422552,0.930424431855678,7.39935555555555,7.60916331421871,7.61593024935826,0,50.6666666666667,49.3333333333333,0
-5.3337,35.7565,0.894853815142899,0.931209989575732,7.39886666666667,8.30065591445972,8.44898633105088,0,49.3333333333333,50.6666666666667,0
-5.3394,35.777,0.897610797874308,0.934328524075953,7.41184444444444,7.56977576811489,7.57390987031652,0,50.6666666666667,49.3333333333333,0
-5.3359,35.7674,0.898812100199551,0.935894303029933,7.40146666666667,8.35524524174738,8.5096534958368,0,49.3333333333333,50.6666666666667,0
-5.3396,35.7873,0.891036520980522,0.927942834749711,7.54311111111111,7.5972043659963,7.60073398851331,0,40,60,0
-5.3407,35.7976,0.845488710898786,0.881926700026981,8.03835555555556,7.47600861548124,7.48140071570663,0,36,64,0
-5.3419,35.8077,0.810557571093506,0.843829310661384,8.06754385964912,7.39791253482508,7.38736630896165,0,40.7894736842105,59.2105263157895,0
-5.3429,35.8184,0.815378129914734,0.849139808567519,8.02206666666667,7.38031303929122,7.37401825018001,0,40,60,0
-5.3438,35.8293,0.807441531107238,0.839962161665878,8.03708888888889,7.48437692711537,7.48546397609427,0,38.6666666666667,61.3333333333333,0
-5.3438,35.8393,0.807965382384996,0.840642185071142,8.01773333333333,7.55273837457803,7.55376842480139,0,42.6666666666667,57.3333333333333,0
-5.3404,35.847,0.820926178191088,0.855342894509622,8.16233333333333,7.47514640675124,7.47612606052739,0,41.3333333333333,58.6666666666667,0
-5.3371,35.8564,0.816720462141678,0.849314104735032,7.95788888888889,7.43333733719739,7.43441813121989,0,45.3333333333333,54.6666666666667,0
-5.3317,35.8651,0.813127722169396,0.845342455344793,7.96248888888889,7.47273208380761,7.47352128845219,0,45.3333333333333,54.6666666666667,0
-5.3226,35.8716,0.80138624398346,0.831687611925585,7.89346666666667,7.52301168182152,7.52400257775607,0,46.6666666666667,53.3333333333333,0
-5.3132,35.8757,0.825724350494416,0.855960397932338,7.6286,7.39561441606696,7.39561471806847,0,62.6666666666667,37.3333333333333,0
-5.3037,35.8773,0.834796265916206,0.866239044684612,7.64095555555556,7.40927958696248,7.40928666312854,0,60,40,0
